id;firstname;lastname;location;school;work;birthdate
1;Sixta;Susann;France;ENS;EDF;1970
2;Michell;Leeanne;France;ENS;Orange;1987
3;Suzanne;Amiee;France;ENS;GDF;2001
4;Chantelle;Aleshia;France;ENS;Google;1983
5;Kyla;Josie;France;ENS;Orange;2013
6;Dario;Kiley;France;ENS;GDF;1977
7;Hortencia;Dorene;France;Polytechnique;Google;1992
8;Lorelei;Fernando;France;Polytechnique;Orange;1985
9;Keitha;Rasheeda;France;Polytechnique;GDF;1978
10;Kiera;Raquel;France;Polytechnique;Google;2000
11;Anh;Quinton;France;HEC;Orange;1988
12;Deeann;Kathryne;France;HEC;GDF;2000
13;Jolie;Pearlene;France;HEC;Google;1974
14;Daina;Elke;France;HEC;EDF;2000
15;Clarence;Tad;China;Beida;Baidu;1988
16;Autumn;Lourie;China;Beida;360 buy;2007
17;Diamond;Joanne;China;Beida;Weibo;1981
18;Mamie;Maya;China;Beida;Weibo;1993
19;Jonelle;Alverta;China;Beida;Weibo;1989
20;Felix;Anthony;China;Tsinghua;Zanadu;1972
21;Harriet;Veronica;China;Tsinghua;Zanadu;2002
22;Adam;Sofia;China;Tsinghua;Zanadu;2004
23;Jessenia;Linette;China;Jiaotong;Douban ;1971
24;Nydia;Arlene;China;Jiaotong;Douban ;1976
25;Rolanda;Jamison;China;Jiaotong;Douban ;2001
26;Winona;Sabra;China;Jiaotong;Douban ;1988
27;Tom;Mara;China;Jiaotong;Douban ;2011
28;Alonso;Yahaira;USA;MIT;Google;1971
29;Irma;Dante;USA;MIT;Google;1984
30;Sherita;Lashaunda;USA;MIT;Groupon;2000
31;Irvin;Raisa;USA;MIT;Groupon;1976
32;Kimbery;Melodi;USA;San Diego;Groupon;1972
33;Lorri;Anika;USA;San Diego;Paypal;1998
34;Lavona;Eddy;USA;San Diego;Paypal;1985
35;Johnette;Karina;USA;San Diego;Paypal;1981
36;Phil;Kristin;USA;San Diego;Paypal;1976
37;Liliana;Fernande;USA;San Diego;Facebook;1978
38;Georgeann;Katheleen;USA;Berkeley;Facebook;2003
39;Phebe;Kathyrn;USA;Berkeley;Facebook;2006
40;Georgette;Nicholas;USA;Berkeley;Facebook;1997
41;Dexter;Lynelle;USA;Berkeley;Twitter;2004
42;Laine;Raeann;USA;Berkeley;Twitter;1982
43;Andrea;Bernardo;England;LSE;Badoo;1990
44;Reggie;Karol;England;LSE;Badoo;1981
45;Olimpia;Belia;England;LSE;Badoo;1983
46;Isa;Dennis;England;LSE;Just Eat;2002
47;Coletta;Collette;England;Essex;Just Eat;1975
48;Katia;Latoria;England;Essex;Just Eat;1985
49;Tenesha;Chong;England;Essex;Halo;2009
50;Sabrina;Mammie;England;Essex;Halo;1971
